Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/encoder/layer.8/attention/self/Add,Add,2352,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/encoder/layer.8/attention/self/Softmax,Softmax,84672,0.03%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/encoder/layer.8/attention/self/MatMul_1,MatMul,75264,0.02%,21504,0.00%,0,0.00%,1x12x14x14,1x12x14x32
/encoder/layer.8/attention/self/Transpose_3,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x12x14x32,1x14x12x32
/encoder/layer.8/attention/self/Reshape_3,Reshape,0,0.00%,21528,0.00%,3,0.00%,1x14x12x32,1x14x384
/encoder/layer.8/attention/output/dense/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.8/attention/output/dense/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.8/attention/output/Add,Add,5376,0.00%,21504,0.00%,0,0.00%,1x14x384,1x14x384
/encoder/layer.8/attention/output/LayerNorm/LayerNormalization,LayerNormalization,38038,0.01%,24576,0.01%,768,0.00%,1x14x384,1x14x384
/encoder/layer.8/intermediate/dense/MatMul,MatMul,8257536,2.72%,2445312,0.51%,589824,0.50%,1x14x384,1x14x1536
/encoder/layer.8/intermediate/dense/Add,Add,21504,0.01%,92160,0.02%,1536,0.00%,1536,1x14x1536
/encoder/layer.8/intermediate/intermediate_act_fn/Div,Div,86016,0.03%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.8/intermediate/intermediate_act_fn/Erf,Erf,0,0.00%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.8/intermediate/intermediate_act_fn/Add,Add,21504,0.01%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.8/intermediate/intermediate_act_fn/Mul,Mul,21504,0.01%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.8/intermediate/intermediate_act_fn/Mul_1,Mul,21504,0.01%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.8/output/dense/MatMul,MatMul,8257536,2.72%,2380800,0.49%,589824,0.50%,1x14x1536,1x14x384
/encoder/layer.8/output/dense/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.8/output/Add,Add,5376,0.00%,21504,0.00%,0,0.00%,1x14x384,1x14x384
/encoder/layer.8/output/LayerNorm/LayerNormalization,LayerNormalization,38038,0.01%,24576,0.01%,768,0.00%,1x14x384,1x14x384
/encoder/layer.9/attention/self/query/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.9/attention/self/query/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.9/attention/self/key/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.9/attention/self/key/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.9/attention/self/Reshape,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.9/attention/self/value/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.9/attention/self/value/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.9/attention/self/Reshape_1,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.9/attention/self/Transpose,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x14x12x32,1x12x14x32
/encoder/layer.9/attention/self/Reshape_2,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.9/attention/self/Transpose_1,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x14x12x32,1x12x14x32
/encoder/layer.9/attention/self/Transpose_2,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x14x12x32,1x12x32x14
/encoder/layer.9/attention/self/MatMul,MatMul,75264,0.02%,9408,0.00%,0,0.00%,1x12x14x32,1x12x14x14
/encoder/layer.9/attention/self/Div,Div,9408,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/encoder/layer.9/attention/self/Add,Add,2352,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/encoder/layer.9/attention/self/Softmax,Softmax,84672,0.03%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/encoder/layer.9/attention/self/MatMul_1,MatMul,75264,0.02%,21504,0.00%,0,0.00%,1x12x14x14,1x12x14x32
/encoder/layer.9/attention/self/Transpose_3,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x12x14x32,1x14x12x32
/encoder/layer.9/attention/self/Reshape_3,Reshape,0,0.00%,21528,0.00%,3,0.00%,1x14x12x32,1x14x384
/encoder/layer.9/attention/output/dense/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.9/attention/output/dense/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.9/attention/output/Add,Add,5376,0.00%,21504,0.00%,0,0.00%,1x14x384,1x14x384
/encoder/layer.9/attention/output/LayerNorm/LayerNormalization,LayerNormalization,38038,0.01%,24576,0.01%,768,0.00%,1x14x384,1x14x384
/encoder/layer.9/intermediate/dense/MatMul,MatMul,8257536,2.72%,2445312,0.51%,589824,0.50%,1x14x384,1x14x1536
/encoder/layer.9/intermediate/dense/Add,Add,21504,0.01%,92160,0.02%,1536,0.00%,1536,1x14x1536
/encoder/layer.9/intermediate/intermediate_act_fn/Div,Div,86016,0.03%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.9/intermediate/intermediate_act_fn/Erf,Erf,0,0.00%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.9/intermediate/intermediate_act_fn/Add,Add,21504,0.01%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.9/intermediate/intermediate_act_fn/Mul,Mul,21504,0.01%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.9/intermediate/intermediate_act_fn/Mul_1,Mul,21504,0.01%,86016,0.02%,0,0.00%,1x14x1536,1x14x1536
/encoder/layer.9/output/dense/MatMul,MatMul,8257536,2.72%,2380800,0.49%,589824,0.50%,1x14x1536,1x14x384
/encoder/layer.9/output/dense/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.9/output/Add,Add,5376,0.00%,21504,0.00%,0,0.00%,1x14x384,1x14x384
/encoder/layer.9/output/LayerNorm/LayerNormalization,LayerNormalization,38038,0.01%,24576,0.01%,768,0.00%,1x14x384,1x14x384
/encoder/layer.10/attention/self/query/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.10/attention/self/query/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.10/attention/self/key/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.10/attention/self/key/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.10/attention/self/Reshape,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.10/attention/self/value/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.10/attention/self/value/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.10/attention/self/Reshape_1,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.10/attention/self/Transpose,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x14x12x32,1x12x14x32
/encoder/layer.10/attention/self/Reshape_2,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.10/attention/self/Transpose_1,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x14x12x32,1x12x14x32
/encoder/layer.10/attention/self/Transpose_2,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x14x12x32,1x12x32x14
/encoder/layer.10/attention/self/MatMul,MatMul,75264,0.02%,9408,0.00%,0,0.00%,1x12x14x32,1x12x14x14
/encoder/layer.10/attention/self/Div,Div,9408,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/encoder/layer.10/attention/self/Add,Add,2352,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/encoder/layer.10/attention/self/Softmax,Softmax,84672,0.03%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/encoder/layer.10/attention/self/MatMul_1,MatMul,75264,0.02%,21504,0.00%,0,0.00%,1x12x14x14,1x12x14x32
/encoder/layer.10/attention/self/Transpose_3,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x12x14x32,1x14x12x32
/encoder/layer.10/attention/self/Reshape_3,Reshape,0,0.00%,21528,0.00%,3,0.00%,1x14x12x32,1x14x384
/encoder/layer.10/attention/output/dense/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
